,category,headline,authors,link,short_description,date
2406,RELIGION,Pope Admits He Made 'Serious Errors' In Handling Chile Sex Abuse Allegations,Carol Kuruvilla,https://www.huffingtonpost.com/entry/pope-admits-serious-mistakes-chilean-abuse-scandal_us_5ace716ae4b0701783aaf630,"In a rare move, the pontiff is summoning all Chilean bishops to Rome to discuss the scandal.",2018-04-11
2418,RELIGION,Megachurch Pastor Abruptly Retires After Allegations Of Improper Conduct Go Public,Carol Kuruvilla,https://www.huffingtonpost.com/entry/megachurch-pastor-bill-hybels-retires-allegations_us_5ace0f59e4b06a6aac8ddada,The Rev. Bill Hybels admitted he had been “naive” at times.,2018-04-11
2419,RELIGION,"Fewer Catholics Of All Ages Are Attending Mass, Gallup Study Finds",Carol Kuruvilla,https://www.huffingtonpost.com/entry/catholics-attending-mass-gallup-study_us_5acd082ae4b06a6aac8c7506,"Even older Catholics, who are typically more religiously committed, have stopped going to church as often.",2018-04-11
2633,RELIGION,"Pennsylvania Diocese Releases Names Of 51 Clergy, Laypeople Accused Of Misconduct",Carol Kuruvilla,https://www.huffingtonpost.com/entry/catholic-diocese-pennsylvania-abusers-list_us_5ac7eee1e4b09d0a1193cecc,Bishop Lawrence T. Persico said he hopes it helps survivors heal old wounds.,2018-04-07
2884,RELIGION,Brazilian And Chinese-American Apostles Diversify Mormon Church Leadership,Carol Kuruvilla,https://www.huffingtonpost.com/entry/new-mormon-apostles-diversity_us_5ac291cee4b04646b6453983,The new appointments were announced during a historic general conference.,2018-04-03
2975,RELIGION,"Pope Francis, In Easter Address, Says 'Defenseless' Being Killed In Holy Land","Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-francis-easter-address_us_5ac10228e4b0f112dc9d1fc2,His address comes two days after 15 Palestinians were gunned down on the Israeli-Gaza border.,2018-04-01
2997,RELIGION,Christian Devotees Around The World Re-Enact Jesus' Crucifixion,Carol Kuruvilla,https://www.huffingtonpost.com/entry/christian-devotees-around-the-world-re-enact-jesus-crucifixion_us_5abea0e5e4b0f112dc9c4725,"Since medieval times, Christians have prepared for Easter with dramatic retellings of the suffering, death and resurrection of Jesus Christ.",2018-03-31
3207,RELIGION,Southern Baptist Leader Resigns Over 'Morally Inappropriate Relationship',Carol Kuruvilla,https://www.huffingtonpost.com/entry/southern-baptist-frank-page-resigns_us_5abb9a0ae4b03e2a5c781085,It's not clear who the other party in the relationship was.,2018-03-28
3338,RELIGION,"After Children Marched For Their Lives, Pope Francis Urged Young People To ‘Keep Shouting’","Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-francis-palm-sunday-2018-message-for-youth_us_5ab7b18ae4b054d118e3f318,"At a solemn Palm Sunday service, the pope urged young people to not allow older generations to silence their voices.",2018-03-25
3576,RELIGION,Vatican Media Chief Resigns After Spreading Digitally Altered Photo,Carol Kuruvilla,https://www.huffingtonpost.com/entry/vatican-media-chief-resigns-after-spreading-fake-news-about-former-pope_us_5ab25e1ae4b054d118deb927,"Weeks after Pope Francis decried the spread of ""fake news,"" the Vatican photo misrepresented his predecessor's views.",2018-03-21
3669,RELIGION,Vandalized Arizona Mosque Flooded With Support From Interfaith Allies,Carol Kuruvilla,https://www.huffingtonpost.com/entry/vandalized-arizona-mosque-flooded-with-support-from-interfaith-allies_us_5ab158a9e4b054d118dd9f7c,"“It’s beautiful to see how two people’s hate brought together hundreds of people in love,” said the mosque's office manager.",2018-03-20
3910,RELIGION,'Love A Muslim' Day Letter Is A Poignant Answer To Hate Threats,Carol Kuruvilla,https://www.huffingtonpost.com/entry/love-a-muslim-day-letter-is-poignant-response-to-violent-islamophobic-campaign_us_5aa97bf7e4b0600b82ffa17c,"A letter campaign is encouraging violence against British Muslims. An activist wants to counter that hate with love, coffee and cake.",2018-03-15
4105,RELIGION,The Church Of Scientology Is Launching A TV Network,Rebecca Shapiro,https://www.huffingtonpost.com/entry/the-church-of-scientology-is-launching-a-tv-network_us_5aa5a636e4b07047bec7b2d1,"""It's time for us to tell our story,"" the organization said.",2018-03-12
4113,RELIGION,Law Student Asked To Leave Bar For Wearing Turban: 'It Broke My Heart',"Cindy Arboleda, Yahoo Lifestyle",https://www.huffingtonpost.com/entry/law-student-asked-to-leave-bar-for-wearing-turban-it-broke-my-heart_us_5aa68f4ae4b03c9edfae11ef,A law student was told to remove his turban at a bar by staff claiming the establishment has a “no headwear policy.” Amrik,2018-03-12
4155,RELIGION,Pope Francis Denounces 'Fear' Politics Amid Global Anti-Immigrant Sentiments,Lydia O'Connor,https://www.huffingtonpost.com/entry/pope-francis-fear-politics_us_5aa5873fe4b086698a9ef192,His comments come a week after anti-immigration candidates won big in Italy.,2018-03-11
4388,RELIGION,Pharrell's Adidas Holi Sneaker Collection Sparks Debate About Cultural Appropriation,Carol Kuruvilla,https://www.huffingtonpost.com/entry/pharrell-holi-sneaker-collection_us_5a9d9d2fe4b0479c0255f55d,"Adidas says the collection is inspired by the ""magic and beauty"" of Holi, a Hindu spiritual festival.",2018-03-07
4468,RELIGION,"Letter Revealing How Gandhi Really Felt About Christianity Is Sold For $50,000",Carol Kuruvilla,https://www.huffingtonpost.com/entry/letter-gandhi-christianity-sold-50000_us_5a9d64f6e4b089ec353d4e26,"In the letter, the Hindu leader muses on his beliefs about Jesus.",2018-03-06
4662,RELIGION,"Billy Graham Laid To Rest At Funeral Attended By Trump, Prominent Evangelicals","Jeff Mason, Greg Lacour, Reuters",https://www.huffingtonpost.com/entry/billy-graham-laid-to-rest-at-funeral-attended-by-trump-prominent-evangelicals_us_5a995fa7e4b0a0ba4ad2a728,"Donald Trump, Mike Pence, and hundreds of others attended the service.",2018-03-02
4684,RELIGION,How To Appreciate — Not Appropriate — Holi Celebrations,Carol Kuruvilla,https://www.huffingtonpost.com/entry/when-it-comes-to-holi-dont-just-do-it-for-the-gram_us_5a97211de4b09c872bb0ece6,Don’t dilute Holi as a “Color Run” or just do it for the ‘gram.,2018-03-02
4872,RELIGION,27 Catholic Problems That Are Hilariously Relatable,Caroline Bologna,https://www.huffingtonpost.com/entry/lent-catholic-problems_us_5994ba80e4b06ef724d6259b,"""You know you're Catholic when you genuflect before you go into a row at a movie theater.""",2018-02-27
4873,RELIGION,27 Colorful Photos That Show The Joy Of Holi In India,Carol Kuruvilla and Chris McGonigal,https://www.huffingtonpost.com/entry/27-photos-that-show-the-joy-of-holi-in-india_us_5a9597d4e4b036ab0142f591,The Hindu religious festival is filled with meaning.,2018-02-27
5167,RELIGION,New Jersey's First Sikh Mayor Says He's Received Death Threats,Carol Kuruvilla,https://www.huffingtonpost.com/entry/new-jersey-first-sikh-mayor-death-threats_us_5a8de875e4b0161d43181292,Hoboken's City Hall is stepping up security after a breach at Mayor Ravi Bhalla's office.,2018-02-22
5213,RELIGION,Photos Of Billy Graham Through The Years Show How He Became 'America's Pastor',Carol Kuruvilla,https://www.huffingtonpost.com/entry/photos-of-billy-graham-through-the-years-americas-pastor_us_5a8d8bcfe4b0273053a692f2,The famous evangelist died on Wednesday at the age of 99.,2018-02-21
5255,RELIGION,"Billy Graham, 'America's Pastor' And Noted Evangelist, Dead At 99",Jade Walker and Nina Golgowski,https://www.huffingtonpost.com/entry/billy-graham-dead_us_566e7e34e4b011b83a6bb479,He believed that all men were lost and would face God's judgment.,2018-02-21
5266,RELIGION,Christians Wrestle With Billy Graham's Legacy,Carol Kuruvilla,https://www.huffingtonpost.com/entry/christians-on-twitter-reflect-on-billy-grahams-influence-and-legacy_us_5a8dc4afe4b00a30a251fab3,"""An imperfect but devoted servant whose preaching pointed so many to Jesus.""",2018-02-21
5539,RELIGION,"Sikh Uber Driver Claims Passenger Pulled Gun On Him, Said, 'I Hate Turban People'",Carol Kuruvilla,https://www.huffingtonpost.com/entry/sikh-uber-driver-passenger-gunpoint_us_5a85e21ae4b004fc319027dc,"Gurjeet Singh says he is traumatized, the Sikh Coalition reports.",2018-02-15
5625,RELIGION,Sikh Activist's Campaign A Reminder That Love Can Be A Force For Justice,Carol Kuruvilla,https://www.huffingtonpost.com/entry/sikh-activists-campaign-is-a-reminder-that-love-can-be-a-force-for-justice_us_5a847ffce4b0058d55655e8b,"""The greatest social movements in history were rooted in the ethic of love,"" says Valarie Kaur.",2018-02-14
5822,RELIGION,French Bishop Declares Nun's Recovery A Lourdes Miracle,Carol Kuruvilla,https://www.huffingtonpost.com/entry/french-nun-lourdes-miracle_us_5a81b39ae4b044b3821fab9d,Bernadette Moriau said she was able to walk for the first time in decades after visiting the shrine.,2018-02-12
6079,RELIGION,Evangelical Leaders Join Forces To Urge Protection For Dreamers And Refugees,Carol Kuruvilla,https://www.huffingtonpost.com/entry/evangelical-leaders-dreamers-refugees_us_5a7b1234e4b06505b4ea1db7,"""Jesus calls us to love our neighbor,"" said Ruth Velasquez, a Christian Dreamer.",2018-02-07
6146,RELIGION,Letter To Pope Ties Bishop To Sex Abuse That Francis Denied Knowing About,Mary Papenfuss,https://www.huffingtonpost.com/entry/letter-pope-francis-sexual-abuse_us_5a794132e4b00f94fe9457a0,The 2015 letter contradicts the pope's claim that there was no evidence linking the controversial Chilean bishop to a coverup.,2018-02-06
6420,RELIGION,Protesting While Muslim Comes With Its Own Set Of Judgments,Carol Kuruvilla,https://www.huffingtonpost.com/entry/muslim-protesters-face-patriotism-questions_us_5a4f8e12e4b003133ec7585a,A Muslim activist wonders if civil disobedience is really open to all citizens.,2018-02-01
6555,RELIGION,Pope Sends Vatican Investigator To Meet Controversial Chilean Bishop's Accusers,"Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-sends-vatican-investigator-to-meet-controversial-chilean-bishops-accusers_us_5a71cb18e4b0ae29f08cbf3b,"Francis had previously called the accusations against Bishop Juan Barros ""slander.""",2018-01-31
6693,RELIGION,Pope Francis Urges European Countries To Do More To Combat Anti-Semitism,"Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-francis-urges-european-countries-to-do-more-to-combat-anti-semitism_us_5a6f995ae4b0a52682febbc7,"“Indifference is a virus,"" the pope said.",2018-01-29
6748,RELIGION,Allies Form Human Chain Around Muslims Praying During Travel Ban Protest,Carol Kuruvilla,https://www.huffingtonpost.com/entry/human-chain-muslims-travel-ban-anniversary_us_5a6b8310e4b01fbbefb19c27,"“It’s what we should do as Americans,"" said Rev. Dr. Chloe Breyer, executive director of the Interfaith Center of New York.",2018-01-27
6948,RELIGION,Pope Francis Condemns Spread Of Fake News As Evil,Carol Kuruvilla,https://www.huffingtonpost.com/entry/pope-francis-condemns-fake-news_us_5a68b76ae4b0dc592a0eaf2e,The pope released the message on the Catholic feast day for journalists.,2018-01-24
7032,RELIGION,Satanic Temple Religious Challenge To Missouri Abortion Law Heads To Court,Mary Papenfuss,https://www.huffingtonpost.com/entry/satanic-temple-missouri-abortion-challenge_us_5a6674b3e4b0e5630072cdc7,"""Mary Doe"" argues that the law is based on a religious ideology contrary to her own.",2018-01-23
7064,RELIGION,Franklin Graham Praises Trump As Staunch Defender Of Christianity,Carol Kuruvilla,https://www.huffingtonpost.com/entry/franklin-graham-claims-trump-has-defended-christianity-more-than-any-recent-president_us_5a663c12e4b0dc592a0b86bb,"The pastor said Trump ""defends the Christian faith more than any president in my lifetime.""",2018-01-23
7132,RELIGION,Pope Francis Compares Gossiping Nuns To Terrorists,Mary Papenfuss,https://www.huffingtonpost.com/entry/gossiping-nunsare-terrists-sayspope_us_5a6526a6e4b002283003f983,He says they're worse than Shining Path guerrillas.,2018-01-22
7231,RELIGION,Clergy Abuse Advocates Fear Pope Francis Is Making It Harder For Victims To Speak Up,Carol Kuruvilla,https://www.huffingtonpost.com/entry/clergy-sex-abuse-victims-pope-francis-chile-bishop_us_5a6221e2e4b01d91b2553c18,"With his defense of a controversial bishop in Chile, he's ""re-victimizing every single child victim and putting himself in the abuser’s shoes.”",2018-01-20
7321,RELIGION,Pope Accuses Clergy Sex Abuse Victims Of Slander,Mary Papenfuss,https://www.huffingtonpost.com/entry/pope-accuses-sexvictims-slander_us_5a6183d8e4b0125fd6356578,The victims claim Bishop Juan Barros protected a pedophile priest.,2018-01-19
7459,RELIGION,Mormon Church Confirms New Leader In Live Broadcast,Carol Kuruvilla,https://www.huffingtonpost.com/entry/mormon-church-confirms-new-leader-in-live-broadcast_us_5a5e6184e4b096ecfca84b96,"Russell M. Nelson, 93, is expected to continue upholding the church's conservative doctrines.",2018-01-17
7639,RELIGION,Pope Francis Says 'Doubts And Fears' Should Not Determine Response To Immigrants,,https://www.huffingtonpost.com/entry/pope-francis-immigrants_us_5a5ba151e4b03c418966aefc,The people delivered his message Sunday during a special Mass to mark the World Day of Migrants and Refugees.,2018-01-14
7689,RELIGION,No Shitholes In The Eyes Of Jesus,"Jonathan Walton, ContributorJonathan is a professional husband, Baba and InterVarsity's Ne...",https://www.huffingtonpost.com/entry/no-shitholes-in-the-eyes-of-jesus_us_5a58e429e4b00b4ea8d08412,"When God put Jesus in Mary's womb, He knew He would be from Nazareth. And He knew that Nathanael would proclaim, ""Nazareth",2018-01-12
7756,RELIGION,Racism As A Treacherous Denial Of The Existence Of God,"Susan K Smith, ContributorRev. Dr.",https://www.huffingtonpost.com/entry/racism-as-a-treacherous-denial-of-the-existence-of_us_5a591918e4b003efadb6ad63,It has been astounding and disturbing to observe the silence of Republican leaders on the dastardly statement the president,2018-01-12
7788,RELIGION,Each And Both,"Jack Moline, ContributorPresident, Interfaith Alliance",https://www.huffingtonpost.com/entry/each-and-both_us_5a562d4de4b0baa6abf162fb,The life of a non-profit (like Interfaith Alliance) can be like a Venn diagram. We work in coalition with all sorts of groups,2018-01-11
7907,RELIGION,Remembering a Prophet,"John Bonner, ContributorLCSW, Writer, Explorer of Existential Angst",https://www.huffingtonpost.com/entry/saying-goodbye-to-a-prophet_us_5a55865ee4b0baa6abf16284,I don’t remember the first time I shook Thomas S. Monson’s hand. I do remember his handshake was firm and that it enveloped,2018-01-10
8021,RELIGION,New York Times Responds To Backlash From Mormons Over Late Leader's Obit,Antonia Blumberg,https://www.huffingtonpost.com/entry/new-york-times-thomas-monson-obituary_us_5a5510aae4b003133ecd2246,"More than 160,000 people have signed a petition calling on the Times to apologize.",2018-01-09
8142,RELIGION,Pope Francis Calls For Ban On Nuclear Weapons,"By Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-francis-nuclear-weapons-ban_us_5a5355dde4b003133eca0d3e,He noted that the Holy See was among 122 states that last year agreed to a UN treaty to ban nuclear weapons.,2018-01-08
8381,RELIGION,Public School Ends Bible Giveaway Tradition After Humanists File Complaint,Carol Kuruvilla,https://www.huffingtonpost.com/entry/school-ends-bible-giveaway_us_5a4e6063e4b06d1621bde103,"“Anyone ... can see that the purpose of this is to promote Christianity,"" said a lawyer for the legal branch of the American Humanist Association.",2018-01-04
8441,RELIGION,Mormon President Thomas Monson Dies At 90,,https://www.huffingtonpost.com/entry/mormon-thomas-monson-dies_us_5a4c9c6be4b06d1621bbd0d7,He had presided over the church since 2008.,2018-01-03
8512,RELIGION,Arkansas Mosque Pays Fines For Man Who Helped Vandalize Its Building,Carol Kuruvilla,https://www.huffingtonpost.com/entry/arkansas-mosque-pays-off-fines-for-man-who-helped-vandalize-their-building_us_5a4bddf1e4b06d1621bb4fe6,"“That’s how we treat people in Islam,” said Hisham Yasin, of Masjid Al Salam.",2018-01-02
8612,RELIGION,Defining What It Means To Be Religious,"James Zogby, ContributorPresident, Arab American Institute; Author, ""Arab Voices""",https://www.huffingtonpost.com/entry/defining-what-it-means-to-be-religious_us_5a46c689e4b0df0de8b06a3a,Ever since we learned that 80 percent of self-described “born-again” Christians supported Donald Trump’s candidacy for president,2017-12-30
8848,RELIGION,Pope Uses Christmas Eve Message To Urge Respect For Migrants,"Philip Pullella, Reuters",https://www.huffingtonpost.com/entry/pope-christmas-eve-migrants_us_5a4025cfe4b025f99e17c35b,"The pontiff said no one should ""have to feel that there is no room for them on this earth.”",2017-12-24
8878,RELIGION,"This Christmas, Have A Nice Day","Thrity Umrigar, ContributorAuthor",https://www.huffingtonpost.com/entry/this-christmas-have-a-nice-day_us_5a3e6268e4b06d1621b4a325,In search of the correct holiday greeting.,2017-12-23
8924,RELIGION,Cardinal Law's Papal Sendoff Shows Church's Laxity On Sex Abuse Scandal,"Celia Wexler, ContributorJournalist, feminist and nonfiction author, celiawexler.com",https://www.huffingtonpost.com/entry/pope-delivers-blow-at-law-funeral_us_5a3d8510e4b0df0de8b06531,"I do not think that Law deserves an express train to heaven or the welcoming arms of the Redeemer, who had very harsh words for anyone who harms children.",2017-12-22
9027,RELIGION,Evangelical Pastor Reveals Why He Quit Trump's Advisory Board So Soon,Lee Moran,https://www.huffingtonpost.com/entry/pastor-ar-bernard-samantha-bee-donald-trump_us_5a3b7b86e4b025f99e1496cf,"The Rev. A.R. Bernard urged fellow evangelicals to ""walk away"" from Trump if he goes against their convictions.",2017-12-21
9104,RELIGION,"Cardinal Bernard Law, Boston Archbishop Who Was Forced To Resign Over Clergy Sex Abuse Scandal, Dead At 86",,https://www.huffingtonpost.com/entry/cardinal-bernard-law-dead_us_5a39f6e7e4b06d1621b060db,"Prior to his resignation, Law spent two decades as one of the highest-ranking Catholic officials in the United States.",2017-12-20
9248,RELIGION,Yale Humanists Seek To Unite New Haven Community With Holiday Obelisk,Carol Kuruvilla,https://www.huffingtonpost.com/entry/humanist-obelisk-new-haven_us_5a3803c9e4b01d429ccb49a1,"The group hopes the ""Lighthouse"" will inspire people of all faiths -- and no faith.",2017-12-19
9284,RELIGION,"Despite Social Liberalization At Home, Saudi Arabia Continues To Promote Islamic Radicalism Abroad","Doug Bandow, ContributorContributing writer, policy analyst, one who tilts at windmills",https://www.huffingtonpost.com/entry/despite-social-liberalization-at-home-saudi-arabia_us_5a37b28fe4b02bd1c8c6086f,"Saudi Arabia and the United Arab Emirates have attacked their neighbor, Qatar, for supposedly supporting terrorism. They",2017-12-18
9492,RELIGION,The Most Imaginative And Awe-Inspiring Christmas Trees Of 2017,Carol Kuruvilla,https://www.huffingtonpost.com/entry/the-most-imaginative-and-awe-inspiring-christmas-trees-of-2017_us_5a3431e1e4b01d429cc8ba60,"From clouds of floating words to recycled plastic bottles, here are 22 creative symbols of light in the middle of darkness.",2017-12-15
9563,RELIGION,More People Are Celebrating Christmas Without Religion,Carol Kuruvilla,https://www.huffingtonpost.com/entry/christmas-without-religion_us_5a3299b3e4b0bb42ac170ca9,From holy night to holly jolly Christmas.,2017-12-14
9910,RELIGION,"British Pastors, Politicians Want To Stop U.S. Evangelist From Preaching In Their Town",Carol Kuruvilla,https://www.huffingtonpost.com/entry/franklin-graham-blackpool-lancashire-trip_us_5a2ad4a6e4b0a290f05056e1,Franklin Graham is facing vocal opposition to his U.K. visit for his bigoted rhetoric.,2017-12-09
10084,RELIGION,Will Religious Freedom Advocates Oppose Roy Moore?,"Peter Henne, ContributorAssistant Professor at the University of Vermont",https://www.huffingtonpost.com/entry/will-religious-freedom-advocates-oppose-roy-moore_us_5a2987b0e4b09ee35b8ae73e,"Next week, the people of Alabama may elect an alleged (but based on numerous, credible reports) pedophile to the US Senate",2017-12-07
10265,RELIGION,Boston-Area Church Lists Mass Shootings Behind Its Nativity Scene,David Moye,https://www.huffingtonpost.com/entry/nativity-scene-mass-shootings-st-susannas-parish_us_5a26cac1e4b069df71fa1521,"They’re hoping to spark change, the pastor said, because ""this is not the picture of Christmas peace.""",2017-12-05
10442,RELIGION,A Star of the Abrahamic Faiths,"Akbar Ahmed, ContributorChair of Islamic Studies at American University",https://www.huffingtonpost.com/entry/a-star-of-the-abrahamic-faiths_us_5a247128e4b04dacbc9bd887,"We live in contradictory and confusing times: on the one hand, we have the cases of widespread murder and mayhem on the basis",2017-12-03
10454,RELIGION,"How Many Mormons “Just Believe"" In Their Church's Teachings?","Dr. Benjamin Knoll, Ph.D., ContributorJohn Marshall Harlan Associate Professor of Politics, Centre C...",https://www.huffingtonpost.com/entry/how-many-mormons-just-believe-in-their-churchs-teachings_us_5a238fc5e4b05072e8b569f5,One of the most significant trends in American religion today is the growth of the “Nones” and the slow but steady secularization,2017-12-03
10540,RELIGION,Struggling With A God Who Allows Chaos,"Susan K Smith, ContributorRev. Dr.",https://www.huffingtonpost.com/entry/struggling-with-a-god-who-allows-chaos_us_5a21b72be4b04dacbc9bd6f5,"I grew up believing that God wanted order and peace. Even though bad things were going on in the world, I was assured by",2017-12-01
10778,RELIGION,We’ve Been Here All Along,"Funie Hsu, ContributorAssistant professor of American Studies, San Jose State Univer...",https://www.huffingtonpost.com/entry/weve-been-here-all-along_us_5a1324d7e4b0bfa88c1c1dc3,The exclusion of Asian and Asian American Buddhists from conversations on American Buddhism is cultural appropriation.,2017-11-29
10931,RELIGION,"Once Again, The Right Hijacks That Old-Time Religion","Bill Moyers and Michael Winship, Contributors",https://www.huffingtonpost.com/entry/once-again-the-right-hijacks-that-old-time-religion_us_5a1c7d8fe4b09413e786ae26,"In Babylon on the Potomac recently, the brand new, $500 million Museum of the Bible had its grand opening. Donald Trump did",2017-11-27
10934,RELIGION,What Will We Do? A Faithful Response To Poverty In Advent,"The Rev. Jacqueline J. Lewis, Ph.D., ContributorSenior Minister, Middle Collegiate Church",https://www.huffingtonpost.com/entry/what-will-we-do-a-faithful-response-to-poverty-in_us_5a1c598ae4b0ba389fc479c6,Did you ever have one of those bracelets that said “What Would Jesus Do?” Maybe a bumper sticker? Did you get the T-shirt,2017-11-27
11051,RELIGION,2017's Holiday Ads Will Make You Feel All Warm And Fuzzy Inside,Lee Moran,https://www.huffingtonpost.com/entry/holiday-ads-commercials-for-2017_us_5a181003e4b064948073e54b,They'll undoubtedly get you into the festive spirit.,2017-11-25
11100,RELIGION,Exposing America's Biggest Hypocrites: Evangelical Christians,"Francis Maxwell, ContributorHost/Writer/Actor",https://www.huffingtonpost.com/entry/exposing-americas-biggest-hypocrites-evangelical_us_5a184f0ee4b068a3ca6df7ad,It’s okay to prey as long as you pray.,2017-11-24
11177,RELIGION,"This Thanksgiving, American Muslims Are Thankful For Allies Publicly And Vocally Speaking Out, Showing Up","Nihad Awad, ContributorNational Executive Director of the Council on American-Islamic...",https://www.huffingtonpost.com/entry/thanksgivingmuslims-thankful-for-allies_us_5a15babbe4b09650540efa30,"While some may try to divide us along religious lines, we are and always will be united as Americans.",2017-11-22
11189,RELIGION,A Litany Of Thanksgiving,"Marian Wright Edelman, ContributorPresident, Children's Defense Fund",https://www.huffingtonpost.com/entry/a-litany-of-thanksgiving_us_5a14a0a2e4b009b331ad7584,"On this Thanksgiving, I share again the beautiful prayer of great black theologian Howard Thurman, “A Litany of Thanksgiving",2017-11-22
11251,RELIGION,Sobibor Mystery Pendant Sparks Family Reunion,"Greg Schneider, ContributorExecutive Vice President, Conference on Jewish Material Claims...",https://www.huffingtonpost.com/entry/sobibor-mystery-pendant-sparks-family-reunion_us_5a144d4be4b0c335e99793c2,"76 years ago this week, Karolina Cohn was torn from her Frankfurt home and deported in a cattle car for a harrowing journey",2017-11-21
11365,RELIGION,When Patriotism Becomes Idolatry,"Stephen Mattson, ContributorI write about the intersection of faith, social justice, cultu...",https://www.huffingtonpost.com/entry/when-patriotism-becomes-idolatry_us_5a12ec85e4b023121e0e94ee,"More often than not, what Christians think of as “patriotism” is what God defines as being “idolatry.” Jesus once said “render",2017-11-20
